date,open,high,low,close,adjusted_close,volume
2022-10-18,1650.495,1661.265,1645.61,1651.8273,1651.8273,114
2022-10-19,1651.995,1654.895,1627.25,1628.4883,1628.4883,187
2022-10-20,1629.9299,1645.83,1621.9301,1627.6637,1627.6637,165
2022-10-21,1628.1,1659.0801,1617.21,1656.66,1656.66,272
2022-10-24,1658.195,1670.545,1643.64,1648.6,1648.6,181
2022-10-25,1649.7,1662.89,1637.82,1652.5239,1652.5239,170
2022-10-26,1653.215,1675.12,1649.145,1664.4884,1664.4884,175
2022-10-27,1664.5,1671.09,1654.8051,1662.9399,1662.9399,117
2022-10-28,1663.3001,1667.4399,1637.39,1641.76,1641.76,200
2022-10-31,1643.695,1645.795,1631.765,1633.1224,1633.1224,105
2022-11-01,1633.3951,1657.125,1630.9251,1647.5033,1647.5033,178
2022-11-02,1647.77,1669.605,1634.4,1634.887,1634.887,230
2022-11-03,1635.8001,1641.325,1616.1751,1629.15,1629.15,173
2022-11-04,1629.4,1682.1738,1628.235,1680.27,1680.27,340
2022-11-07,1681.295,1682.085,1666.4351,1674.6801,1674.6801,113
2022-11-08,1674.75,1717.3101,1664.325,1712.52,1712.52,328
2022-11-09,1712.605,1722.945,1701.785,1706.32,1706.32,142
2022-11-10,1706.415,1757.52,1703.325,1754.8604,1754.8604,328
2022-11-11,1754.92,1773.17,1746.855,1770.6899,1770.6899,168
2022-11-14,1771.415,1775.36,1752.895,1771.8001,1771.8001,146
2022-11-15,1771.875,1786.6801,1766.5649,1778.25,1778.25,132
2022-11-16,1778.34,1785.495,1769.825,1773.77,1773.77,107
2022-11-17,1773.8225,1775.205,1754.125,1760.87,1760.87,138
2022-11-18,1760.745,1767.985,1747.035,1749.74,1749.74,138
2022-11-21,1750.825,1753.515,1732.03,1737.8081,1737.8081,142
2022-11-22,1738.485,1749.985,1736.615,1740.24,1740.24,96
2022-11-23,1740.295,1753.5382,1728.25,1749.28,1749.28,164
2022-11-24,1749.525,1759.085,1749.025,1754.96,1754.96,77
2022-11-25,1756.4801,1761.58,1745.46,1756.14,1756.14,111
2022-11-28,1755.0,1764.085,1739.14,1740.75,1740.75,161
2022-11-29,1740.82,1759.33,1738.98,1749.73,1749.73,135
2022-11-30,1749.825,1770.385,1744.405,1768.45,1768.45,166
2022-12-01,1768.535,1804.32,1767.365,1802.89,1802.89,224
2022-12-02,1803.15,1804.9301,1778.255,1797.82,1797.82,167
2022-12-05,1797.915,1810.335,1765.325,1768.39,1768.39,268
2022-12-06,1768.665,1781.465,1765.7227,1770.91,1770.91,108
2022-12-07,1771.135,1790.92,1768.325,1786.22,1786.22,146
2022-12-08,1786.285,1795.1751,1780.96,1789.23,1789.23,99
2022-12-09,1789.3001,1806.45,1787.965,1796.63,1796.63,122
2022-12-12,1797.35,1798.0,1777.22,1781.15,1781.15,135
2022-12-13,1781.21,1824.87,1779.8149,1810.29,1810.29,266
2022-12-14,1809.73,1814.115,1796.235,1807.715,1807.715,94
2022-12-15,1807.725,1807.935,1773.845,1776.565,1776.565,207
2022-12-16,1776.56,1794.275,1774.355,1793.01,1793.01,32
2022-12-18,1792.43,1792.97,1790.89,1790.955,1790.955,28
2022-12-19,1790.96,1798.835,1783.89,1787.325,1787.325,59
2022-12-20,1787.315,1821.115,1784.685,1817.25,1817.25,34
2022-12-21,1817.26,1823.84,1811.91,1814.97,1814.97,49
2022-12-22,1814.955,1820.55,1784.88,1793.51,1793.51,185
2022-12-23,1793.515,1803.48,1791.26,1798.595,1798.595,32
2022-12-25,1798.455,1798.455,1798.455,1798.455,1798.455,20
2022-12-26,1800.93,1804.08,1800.68,1801.825,1801.825,21
2022-12-27,1801.835,1833.425,1800.75,1812.475,1812.475,26
2022-12-28,1812.46,1814.68,1797.03,1805.875,1805.875,105
2022-12-29,1805.845,1820.25,1804.415,1815.16,1815.16,27
2022-12-30,1815.175,1826.055,1813.415,1823.54,1823.54,29
2023-01-02,1828.595,1830.96,1824.255,1829.425,1829.425,43
2023-01-03,1829.42,1850.175,1826.79,1836.655,1836.655,34
2023-01-04,1836.635,1865.165,1836.305,1854.935,1854.935,21
2023-01-05,1854.93,1859.095,1824.975,1832.965,1832.965,181
2023-01-06,1832.955,1870.065,1831.27,1866.22,1866.22,29
2023-01-08,1866.595,1870.265,1866.595,1869.8,1869.8,20
2023-01-09,1869.815,1881.56,1867.27,1870.57,1870.57,33
2023-01-10,1870.575,1880.8,1867.955,1877.2,1877.2,34
2023-01-11,1877.195,1886.805,1866.95,1876.985,1876.985,74
2023-01-12,1876.98,1901.645,1874.935,1898.115,1898.115,30
2023-01-13,1898.13,1922.14,1892.37,1920.56,1920.56,50
2023-01-15,1922.645,1924.17,1916.965,1917.065,1917.065,49
2023-01-16,1917.07,1929.13,1910.73,1917.965,1917.965,53
2023-01-17,1917.97,1919.17,1903.56,1908.7,1908.7,95
2023-01-18,1908.705,1925.94,1896.4,1906.86,1906.86,84
2023-01-19,1906.855,1935.485,1901.035,1931.8,1931.8,50
2023-01-20,1931.82,1937.59,1920.57,1925.98,1925.98,78
2023-01-22,1924.445,1927.325,1924.23,1927.225,1927.225,21
2023-01-23,1927.23,1935.575,1911.425,1931.39,1931.39,102
2023-01-24,1931.395,1942.79,1917.105,1937.045,1937.045,93
2023-01-25,1937.04,1949.145,1919.875,1948.7,1948.7,108
2023-01-26,1948.71,1949.585,1918.765,1930.795,1930.795,173
2023-01-27,1930.805,1935.09,1916.72,1928.41,1928.41,92
2023-01-29,1926.82,1929.005,1926.545,1929.005,1929.005,21
2023-01-30,1929.025,1934.595,1920.42,1922.06,1922.06,64
2023-01-31,1922.07,1931.205,1900.755,1927.615,1927.615,130
